Type,Value,Rating,Confidence,Description,Source,Tags,Adversary,Document,Email,Incident,Signature,Threat
File,6BF7CE4065FD8AD8071E94AABE062C88,5,100,Compressed archive drops MarkiRAT payload associated with Operation MKLG campaign,VirusTotal,Dropper|Maldoc|MarkiRAT|Operation MKLG| Ferocious Kitten,,,,,,
File,40DCD7C8C0B989FB442390582525CB18,5,100,MarkiRAT backdoor associated with Operation MKLG campaign,https://mobile.twitter.com/reddrip7/status/1430369566350213121?lang=ar,MarkiRAT|Backdoor|Operation MKLG| Ferocious Kitten,,,,,,
File,1BA4C72957D82D01D276643BAABDD3D7,5,100,MarkiRAT backdoor associated with Operation MKLG campaign,VirusTotal,MarkiRAT|Backdoor|Operation MKLG| Ferocious Kitten,,,,,,
File,3E38999A11CDA8C9290DBE02B0E4634A,5,100,Maldoc drops MarkiRAT payload associated with Operation MKLG campaign,https://mobile.twitter.com/reddrip7/status/1430369566350213121?lang=ar,Dropper|Maldoc|MarkiRAT|Operation MKLG| Ferocious Kitten,,,,,,
File,D628A5CCE3CB340FFA5D7A07A12A3BB6,5,100,MarkiRAT backdoor associated with Operation MKLG campaign,VirusTotal,MarkiRAT|Backdoor|Operation MKLG| Ferocious Kitten,,,,,,
File,E336DC35C967CB59E0961E41D1E93A15,5,100,WinRAR installer drops MarkiRAT payload associated with Operation MKLG campaign,VirusTotal,Dropper|Maldoc|MarkiRAT|Operation MKLG| Ferocious Kitten,,,,,,
File,6D7F2042F34A19DA41A09A1BF3371CDE,5,100,Maldoc drops MarkiRAT payload associated with Operation MKLG campaign,VirusTotal,Dropper|Maldoc|MarkiRAT|Operation MKLG| Ferocious Kitten,,,,,,
File,5B4B42A8A730FAE1B786326F27613DA4,5,100,MarkiRAT backdoor associated with Operation MKLG campaign,VirusTotal,MarkiRAT|Backdoor|Operation MKLG| Ferocious Kitten,,,,,,
File,B2FE8C3BA2B9639F34C1727D50C4918D,5,100,MarkiRAT backdoor associated with Operation MKLG campaign,VirusTotal,MarkiRAT|Backdoor|Operation MKLG| Ferocious Kitten,,,,,,
